,PRODUCT_NUM,Unnamed: 0.1,SAP_MATERIAL,MLF_WEEK,STORE_ID,SEGMENT,UPC,MATERIAL_DESCRIPTION,BRAND,CATEGORY,ADDRESS,CONCAT,NewName,AD_IMAGE_ID
0,0,239,63100199040,201910,LCL1018,TENDERFLAKE CUBE,23659700000,TENDERFLAKE LARD 36X454G,TENDERFLAKE,BAKING PRODUCTS,18120 YONGE ST,BAKING PRODUCTS TENDERFLAKE TENDERFLAKE LARD 36X454G TENDERFLAKE CUBE SUPERSTORE,TENDERFLAKECUBE,http://images.mapleleaf.com/MARKET%20IQ/1498657248493231.JPG
1,952,154309,63100888098,201910,LCL3126,READY CRISP SLICES,25805500000,ML READY CRISP BACON SLICES DRP 270X65G,MAPLE LEAF,BACON,6435 ERIN MILLS PKWY,BACON MAPLE LEAF ML READY CRISP BACON SLICES DRP 270X65G READY CRISP SLICES NO FRILLS,READYCRISPSLICES,http://images.mapleleaf.com/MARKET%20IQ/10038228525189.JPG
2,1715,289887,63100006232,201910,LCL8774,READY CRISP PIECES,20150000000,ML READY CRISP BACON PIECES SHP 76X85G,MAPLE LEAF,BACON,1001 BOUL DE MONTARVILLE,BACON MAPLE LEAF ML READY CRISP BACON PIECES SHP 76X85G READY CRISP PIECES PROVIGO,READYCRISPPIECES,http://images.mapleleaf.com/MARKET%20IQ/2360607228452242.JPG
3,2468,421148,63100252899,201910,LCL9078,MLNS 175,22025600000,ML NAT SEL OR TURKEY BREAST 12X175G,MAPLE LEAF,SLICED MEATS,647 GOVERNMENT ST,SLICED MEATS MAPLE LEAF ML NAT SEL OR TURKEY BREAST 12X175G MLNS 175 EXTRA FOODS,MLNS175,http://images.mapleleaf.com/MARKET%20IQ/770085228556368.JPG
4,4287,726314,63100219465,201910,LCL658,ML 375,21699400000,ML REGULAR BACON 12X375G,MAPLE LEAF,BACON,PO BOX 550 5185 MAIN ST,BACON MAPLE LEAF ML REGULAR BACON 12X375G ML 375 YOUR IND GROCER,ML375,http://images.mapleleaf.com/MARKET%20IQ/10038228525189.JPG
5,5103,867872,63100231504,201910,LCL1170,ML FLAKES,21834900000,ML FLAKES OF HAM 24X156G,FLAKES,CANNED MEATS,363 RIDEAU ST,CANNED MEATS FLAKES ML FLAKES OF HAM 24X156G ML FLAKES LOBLAW,MLFLAKES,http://images.mapleleaf.com/MARKET%20IQ/217962222845289.JPG
6,6017,1018346,63100320024,201910,LCL515,LUNCHMATE STACKERS,21208100000,SCH LM STACKER HAM 24X90G,SCHNEIDER'S,KITS,1375 WEBER ST E,KITS SCHNEIDER'S SCH LM STACKER HAM 24X90G LUNCHMATE STACKERS ZEHRS,LUNCHMATESTACKERS,http://images.mapleleaf.com/MARKET%20IQ/2184585228452324.JPG
7,8454,1426905,62000553528,201910,LCL3120,SCH ADULT REGULAR,6310037589,SCH JUICY JUMBOS ORIGINAL 12X450G,SCHNEIDER'S,WIENERS,PO BOX 98 275 MAIN ST,WIENERS SCHNEIDER'S SCH JUICY JUMBOS ORIGINAL 12X450G SCH ADULT REGULAR NO FRILLS,SCHADULTREGULAR,http://images.mapleleaf.com/MARKET%20IQ/948522850149.JPG
8,11342,1933856,63100553064,201910,LCL572,SCH ADULT BEEF,21671400000,SCH JUICY JUMBOS 100% BEEF 12X375G,SCHNEIDER'S,WIENERS,300 MAIN ST E,WIENERS SCHNEIDER'S SCH JUICY JUMBOS 100% BEEF 12X375G SCH ADULT BEEF ZEHRS,SCHADULTBEEF,http://images.mapleleaf.com/MARKET%20IQ/14747228581709.JPG
9,12054,2065045,63100233218,201910,LCL8923,ML VIENNA,20177800000,ML VIENNA SAUSAGE 24X113G,MAPLE LEAF,CANNED MEATS,699 RUE CLEMENCEAU,CANNED MEATS MAPLE LEAF ML VIENNA SAUSAGE 24X113G ML VIENNA MAXI - MAXI & CIE,MLVIENNA,http://images.mapleleaf.com/MARKET%20IQ/574592284604.JPG
